model,accuracy,precision,recall
XGBoost,0.9341476367498672,0.6830357142857143,0.7427184466019418
LightGBM,0.944768985661179,0.755,0.7330097087378641
SVM (Calibrated LinearSVC),0.9548592671269251,0.8622754491017964,0.6990291262135923
Voting Ensemble (XGB+LGBM+SVM),0.9468932554434413,0.7676767676767676,0.7378640776699029
